koi_period,koi_duration,koi_depth,koi_prad,fpp_prob,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,koi_disposition
6.164876,3.262,55.8,0.79,0.00035,5e-05,5.2e-05,0.00024,CONFIRMED
6.164876,3.262,55.8,0.79,0.21,9.3e-15,7.4e-15,0.041,CONFIRMED
6.164876,3.262,55.8,0.79,0.0015,2.7e-09,9.9e-10,0.00044,CONFIRMED
60.32494216,6.6188,20280.0,12.19,0.02,0.019,2.1e-07,0.00062,CONFIRMED
60.32494216,6.6188,20280.0,12.19,0.0055,0.0055,8.1e-06,3.7e-05,CONFIRMED
29.1598615,4.803,488.0,1.91,0.02,0.019,2.1e-07,0.00062,CONFIRMED
29.1598615,4.803,488.0,1.91,0.0055,0.0055,8.1e-06,3.7e-05,CONFIRMED
1.540397253,2.1541,816.1,25.69,1.0,5.6e-11,7e-07,0.11,FALSE POSITIVE
2.99025443,5.414,589.2,1.7,1.0,0.0,0.0,4.400000000000001e-152,FALSE POSITIVE
1.594745374,1.9604,15044.0,11.3,0.00016,0.00016,9.100000000000001e-18,1.4e-09,CONFIRMED
4.783002698,2.335,1008.7,2.5,0.037,4.4e-06,0.023,0.013,CONFIRMED
20.50588921,4.0595,2105.5,3.41,0.00012,1.2e-07,4.2e-06,0.00012,CONFIRMED
3.340218842,1.9104,1632.6,2.03,0.00012,4.3e-11,1.4e-20,0.00011,CONFIRMED
3.340218842,1.9104,1632.6,2.03,1.3e-05,1.5999999999999998e-14,1.7000000000000002e-20,1.1e-05,CONFIRMED
3.340218842,1.9104,1632.6,2.03,0.00037,8.9e-16,6.4e-17,0.00013,CONFIRMED
3.340218842,1.9104,1632.6,2.03,0.0017,1.1e-14,1.1e-17,0.0013,CONFIRMED
2.507089906,2.0067,1339.2,30.26,1.0,0.019,0.44,0.22,FALSE POSITIVE
18.64932728,4.4056,893.6,3.12,1.4e-05,1.1e-08,9.9e-07,1.3e-05,CONFIRMED
18.64932728,4.4056,893.6,3.12,7.8e-05,2.5e-10,1.6e-10,6.9e-05,CONFIRMED
18.64932728,4.4056,893.6,3.12,0.0038,0.00015,0.0026,0.00091,CONFIRMED
4.90144976,4.1654,140.7,1.7,4e-06,3e-07,4.7e-07,3.2e-06,CONFIRMED
4.90144976,4.1654,140.7,1.7,4.8e-08,6.3e-20,1.0999999999999998e-24,6.8e-11,CONFIRMED
4.90144976,4.1654,140.7,1.7,1.7e-06,4.3e-21,1.3e-20,1.6e-06,CONFIRMED
4.90144976,4.1654,140.7,1.7,0.00013,2.2000000000000002e-18,5.7e-17,7.1e-05,CONFIRMED
9.75192101,4.793,418.0,2.76,1.4e-05,1.1e-08,9.9e-07,1.3e-05,CONFIRMED
9.75192101,4.793,418.0,2.76,7.8e-05,2.5e-10,1.6e-10,6.9e-05,CONFIRMED
9.75192101,4.793,418.0,2.76,0.0038,0.00015,0.0026,0.00091,CONFIRMED
38.5576546,5.794,993.0,4.02,1.4e-05,1.1e-08,9.9e-07,1.3e-05,CONFIRMED
38.5576546,5.794,993.0,4.02,7.8e-05,2.5e-10,1.6e-10,6.9e-05,CONFIRMED
38.5576546,5.794,993.0,4.02,0.0038,0.00015,0.0026,0.00091,CONFIRMED
3.525632539,2.59959,22335.0,11.58,0.00065,0.00065,1.7e-13,1.5e-09,CONFIRMED
34.84398644,2.9315,4523.6,7.61,0.81,0.059,0.73,0.0029,CANDIDATE
7.748094239,3.5957,2472.1,5.52,0.00045,9.8e-06,0.00016,0.00025,CONFIRMED
23.96793669,3.827,1182.3,1.8,2.5e-05,9.999999999999998e-15,1.2000000000000001e-23,2.5e-05,CONFIRMED
23.96793669,3.827,1182.3,1.8,0.0095,0.00013,3.8e-05,0.0051,CONFIRMED
8.29561738,1.3421,824.3,1.82,2.5e-05,9.999999999999998e-15,1.2000000000000001e-23,2.5e-05,CONFIRMED
8.29561738,1.3421,824.3,1.82,0.0095,0.00013,3.8e-05,0.0051,CONFIRMED
8.11437482,2.2736,1558.0,2.1,2.1e-05,3.1e-15,2e-24,2e-05,CONFIRMED
38.036729482,4.34617,82872.0,27.5,0.91,0.093,0.82,0.00079,FALSE POSITIVE
4.64090031,35.512,2450.6,30.09,1.0,0.0,0.0,0.0,CANDIDATE
3.747838198,5.0642,616.0,13.65,1.0,4.1999999999999996e-47,2.0999999999999999e-41,0.6,FALSE POSITIVE
14.74914825,6.0995,430.2,2.89,4e-06,3e-07,4.7e-07,3.2e-06,CONFIRMED
14.74914825,6.0995,430.2,2.89,4.8e-08,6.3e-20,1.0999999999999998e-24,6.8e-11,CONFIRMED
14.74914825,6.0995,430.2,2.89,1.7e-06,4.3e-21,1.3e-20,1.6e-06,CONFIRMED
14.74914825,6.0995,430.2,2.89,0.00013,2.2000000000000002e-18,5.7e-17,7.1e-05,CONFIRMED
21.81295996,4.3791,1175.4,3.38,0.00016,2.6e-11,1.1e-06,8e-05,CONFIRMED
7.91936937,3.3148,15148.0,10.34,0.015,0.0041,0.011,0.00015,FALSE POSITIVE
1.028436523,1.8606,8098.0,72.77,,,,,CANDIDATE
15.37562369,3.3169,15337.0,11.01,0.0024,0.001,0.0009,0.00021,CONFIRMED
8.10363271,3.161,887.9,2.11,4.5e-05,9.500000000000001e-14,1.1e-17,4.5e-05,CONFIRMED
8.10363271,3.161,887.9,2.11,5.4e-05,1e-15,3.7000000000000003e-17,5e-05,CONFIRMED
4.71510843,2.506,417.5,1.46,4.5e-05,9.500000000000001e-14,1.1e-17,4.5e-05,CONFIRMED
4.71510843,2.506,417.5,1.46,5.4e-05,1e-15,3.7000000000000003e-17,5e-05,CONFIRMED
6.365839713,2.9721,780.7,2.44,0.00017,2.1000000000000003e-12,0.00014,3.3e-05,CONFIRMED
5.97581754,3.065,962.4,3.86,0.73,0.0039,0.69,0.021,FALSE POSITIVE
2.446737317,4.7211,1177.9,26.25,1.0,1.3999999999999999e-24,3.1e-16,1.4e-31,FALSE POSITIVE
3.04033046,1.8411,10859.0,8.99,0.00019,9.5e-05,3.4e-07,2.3e-05,CONFIRMED
15.33528675,3.897,3081.4,5.0,0.048,0.008,0.0015,0.013,CONFIRMED
15.33528675,3.897,3081.4,5.0,0.019,0.0076,0.00056,0.0076,CONFIRMED
15.33528675,3.897,3081.4,5.0,0.0013,1.5e-10,1.2000000000000001e-12,0.0013,CONFIRMED
15.33528675,3.897,3081.4,5.0,1.0,7.5e-06,3.2e-07,0.28,CONFIRMED
15.33528675,3.897,3081.4,5.0,0.0012,0.00023,3.2e-05,0.00039,CONFIRMED
7.95825328,4.377,50.0,1.06,4e-06,3e-07,4.7e-07,3.2e-06,CONFIRMED
7.95825328,4.377,50.0,1.06,4.8e-08,6.3e-20,1.0999999999999998e-24,6.8e-11,CONFIRMED
7.95825328,4.377,50.0,1.06,1.7e-06,4.3e-21,1.3e-20,1.6e-06,CONFIRMED
7.95825328,4.377,50.0,1.06,0.00013,2.2000000000000002e-18,5.7e-17,7.1e-05,CONFIRMED
31.33046135,5.176,5073.8,6.5,0.048,0.008,0.0015,0.013,CONFIRMED
31.33046135,5.176,5073.8,6.5,0.019,0.0076,0.00056,0.0076,CONFIRMED
31.33046135,5.176,5073.8,6.5,0.0013,1.5e-10,1.2000000000000001e-12,0.0013,CONFIRMED
31.33046135,5.176,5073.8,6.5,1.0,7.5e-06,3.2e-07,0.28,CONFIRMED
31.33046135,5.176,5073.8,6.5,0.0012,0.00023,3.2e-05,0.00039,CONFIRMED
3.9043425,3.831,16228.0,12.28,0.13,0.033,0.092,0.0039,FALSE POSITIVE
9.286358079,3.49949,44791.0,17.61,0.035,0.012,0.024,0.00028,FALSE POSITIVE
3.951405455,2.1862,2453.9,31.44,1.0,0.0065,0.12,0.0064,FALSE POSITIVE
23.65369415,8.2183,3341.8,7.89,3.1e-06,3.1e-06,2.8e-09,4.5000000000000004e-17,CONFIRMED
23.65369415,8.2183,3341.8,7.89,6.9e-05,7.9e-16,3.5000000000000004e-12,5.4e-11,CONFIRMED
23.65369415,8.2183,3341.8,7.89,7e-08,1.1e-15,4.6e-19,6.1e-10,CONFIRMED
23.65369415,8.2183,3341.8,7.89,0.028,6.7e-30,4.3e-22,2.3e-45,CONFIRMED
23.65369415,8.2183,3341.8,7.89,0.0006,5.8e-07,0.00047,9.5e-05,CONFIRMED
13.23352214,6.7372,504.6,3.06,3.1e-06,3.1e-06,2.8e-09,4.5000000000000004e-17,CONFIRMED
13.23352214,6.7372,504.6,3.06,6.9e-05,7.9e-16,3.5000000000000004e-12,5.4e-11,CONFIRMED
13.23352214,6.7372,504.6,3.06,7e-08,1.1e-15,4.6e-19,6.1e-10,CONFIRMED
13.23352214,6.7372,504.6,3.06,0.028,6.7e-30,4.3e-22,2.3e-45,CONFIRMED
13.23352214,6.7372,504.6,3.06,0.0006,5.8e-07,0.00047,9.5e-05,CONFIRMED
6.15560285,4.9843,285.0,2.32,3.1e-06,3.1e-06,2.8e-09,4.5000000000000004e-17,CONFIRMED
6.15560285,4.9843,285.0,2.32,6.9e-05,7.9e-16,3.5000000000000004e-12,5.4e-11,CONFIRMED
6.15560285,4.9843,285.0,2.32,7e-08,1.1e-15,4.6e-19,6.1e-10,CONFIRMED
